source_center,destination_center,trip_count,actual_time,osrm_time,delay_ratio
IND000000AAL,IND411033AAA,14,68.5,26.5,2.5849056603773586
IND000000AAS,IND783370AAC,9,53.0,30.0,1.7666666666666666
IND000000AAZ,IND444203AAA,1,289.0,48.0,6.020833333333333
IND000000AAZ,IND444303AAA,1,160.0,40.0,4.0
IND000000ABA,IND683565AAA,5,22.0,21.0,1.0476190476190477
IND000000ABD,IND562132AAA,12,630.5,370.0,1.704054054054054
IND000000ABG,IND501359AAF,9,211.0,28.0,7.535714285714286
IND000000ACA,IND140406AAA,2,65.0,37.0,1.7567567567567568
IND000000ACA,IND142001AAB,8,99.0,56.5,1.752212389380531
IND000000ACA,IND142401AAA,6,54.5,25.5,2.1372549019607843
IND000000ACA,IND143001AAA,1,189.0,111.0,1.7027027027027026
IND000000ACA,IND144001AAB,14,82.5,50.0,1.65
IND000000ACA,IND144514AAA,12,114.5,63.0,1.8174603174603174
IND000000ACA,IND147301AAA,2,81.0,32.0,2.53125
IND000000ACA,IND152026AAA,1,179.0,117.0,1.5299145299145298
IND000000ACA,IND160002AAC,60,132.0,62.0,2.129032258064516
IND000000ACB,IND000000AEL,17,114.0,63.0,1.8095238095238095
IND000000ACB,IND110024AAA,6,138.0,66.5,2.075187969924812
IND000000ACB,IND110030AAD,22,85.0,50.0,1.7
IND000000ACB,IND110037AAK,26,69.5,38.0,1.8289473684210527
IND000000ACB,IND110043AAA,10,79.5,38.0,2.0921052631578947
IND000000ACB,IND110043AAC,9,107.0,55.0,1.9454545454545455
IND000000ACB,IND110052AAA,2,102.0,68.0,1.5
IND000000ACB,IND110064AAA,38,97.0,58.0,1.6724137931034482
IND000000ACB,IND110085AAB,18,113.5,67.0,1.6940298507462686
IND000000ACB,IND110092AAC,5,121.0,74.0,1.635135135135135
IND000000ACB,IND110095AAB,26,150.5,77.0,1.9545454545454546
IND000000ACB,IND121002AAB,38,127.5,66.0,1.9318181818181819
IND000000ACB,IND121004AAB,23,119.0,66.0,1.803030303030303
IND000000ACB,IND122001AAA,39,62.0,35.0,1.7714285714285714
IND000000ACB,IND122015AAC,2,84.5,34.5,2.449275362318841
IND000000ACB,IND124103AAA,10,84.0,47.0,1.7872340425531914
IND000000ACB,IND124112AAA,5,188.0,90.0,2.088888888888889
IND000000ACB,IND125001AAA,14,281.0,135.0,2.0814814814814815
IND000000ACB,IND125005AAA,4,265.5,135.5,1.959409594095941
IND000000ACB,IND125033AAA,2,272.0,119.0,2.2857142857142856
IND000000ACB,IND127021AAA,1,184.0,101.0,1.8217821782178218
IND000000ACB,IND131028AAB,73,211.0,98.0,2.1530612244897958
IND000000ACB,IND160002AAC,41,482.0,211.0,2.2843601895734595
IND000000ACB,IND201007AAA,9,123.0,77.0,1.5974025974025974
IND000000ACB,IND201301AAF,9,114.0,78.0,1.4615384615384615
IND000000ACB,IND201301AAM,27,213.0,82.0,2.597560975609756
IND000000ACB,IND209304AAA,10,729.0,321.0,2.2710280373831777
IND000000ACB,IND282002AAD,3,282.0,137.0,2.0583941605839415
IND000000ACB,IND301001AAB,6,156.5,92.0,1.701086956521739
IND000000ACB,IND301705AAA,1,210.0,56.0,3.75
IND000000ACB,IND302014AAA,24,322.0,169.0,1.9053254437869822
IND000000ACB,IND302022AAD,14,286.5,169.0,1.6952662721893492
IND000000ACB,IND328001AAA,5,360.0,198.0,1.8181818181818181
IND000000ACB,IND382430AAB,13,1140.0,632.0,1.8037974683544304
IND000000ACB,IND390022AAA,8,1245.0,695.0,1.79136690647482
IND000000ACB,IND411033AAA,15,1761.0,1011.0,1.741839762611276
IND000000ACB,IND421302AAG,26,1861.0,963.0,1.9325025960539979
IND000000ACB,IND462022AAA,12,1088.0,588.5,1.848768054375531
IND000000ACB,IND474003AAA,2,1134.5,253.0,4.484189723320158
IND000000ACB,IND501359AAE,21,2236.0,1166.0,1.9176672384219553
IND000000ACB,IND521225AAB,5,2606.0,1283.0,2.0311769290724864
IND000000ACB,IND562132AAA,44,2869.5,1548.0,1.8536821705426356
IND000000ACB,IND600056AAB,10,3038.0,1610.0,1.8869565217391304
IND000000ACB,IND712311AAA,34,2126.5,1016.0,2.093011811023622
IND000000ACB,IND751002AAB,13,2379.0,1167.0,2.038560411311054
IND000000ACB,IND821115AAB,14,1341.0,646.0,2.0758513931888545
IND000000ACB,IND834002AAB,9,1608.0,851.0,1.8895417156286722
IND000000ACB,IND842001AAA,12,1515.0,737.5,2.0542372881355933
IND000000ACK,IND501359AAF,22,64.5,21.0,3.0714285714285716
IND000000ACN,IND501359AAF,11,34.0,18.0,1.8888888888888888
IND000000ACT,IND000000ACB,71,54.0,42.0,1.2857142857142858
IND000000ACT,IND131028AAB,32,91.5,56.0,1.6339285714285714
IND000000ACT,IND160002AAC,14,386.5,188.0,2.0558510638297873
IND000000ADV,IND600044AAC,11,76.0,37.0,2.054054054054054
IND000000AEL,IND000000ACB,15,108.0,58.0,1.8620689655172413
IND000000AEM,IND110037AAB,11,168.0,40.0,4.2
IND000000AEM,IND110064AAB,11,113.0,55.0,2.0545454545454547
IND000000AET,IND000000AAS,8,119.0,48.5,2.4536082474226806
IND000000AFF,IND734203AAA,3,92.0,19.0,4.842105263157895
IND000000AFG,IND673027AAB,1,84.0,46.0,1.826086956521739
IND000000AFJ,IND695121AAA,13,28.0,26.0,1.0769230769230769
IND000000AFJ,IND695572AAB,1,60.0,27.0,2.2222222222222223
IND000000AFR,IND683511AAA,6,70.5,32.0,2.203125
IND000000AFT,IND400072AAB,6,36.0,19.0,1.894736842105263
IND000000AFT,IND400701AAA,1,56.0,19.0,2.9473684210526314
IND000000AFT,IND400706AAA,1,94.0,18.0,5.222222222222222
IND000000AFT,IND410206AAA,1,46.0,15.0,3.066666666666667
IND000000AFT,IND410206AAB,1,53.0,17.0,3.1176470588235294
IND000000AFT,IND410209AAA,22,31.5,14.5,2.1724137931034484
IND000000AFT,IND410210AAA,9,50.0,15.0,3.3333333333333335
