source_center,destination_center,trip_count,actual_time,osrm_time,delay_ratio
IND271001AAA,IND271210AAA,1,2536.0,50.0,50.72
IND631501AAA,IND600056AAB,1,1649.0,34.0,48.5
IND208012AAA,IND209304AAA,8,608.0,17.0,35.76470588235294
IND785634AAA,IND785001AAA,3,468.0,16.0,29.25
IND212402AAA,IND211002AAB,7,1047.0,36.0,29.08333333333333
IND221010AAB,IND232101AAB,1,567.0,21.0,27.0
IND416606AAA,IND416510AAA,4,1207.0,45.0,26.822222222222223
IND802212AAA,IND821115AAB,5,997.0,42.0,23.73809523809524
IND209801AAA,IND209304AAA,4,736.0,32.5,22.646153846153847
IND424304AAC,IND424006AAA,2,926.0,41.5,22.313253012048197
IND425405AAA,IND424006AAA,8,1024.5,47.0,21.79787234042553
IND208017AAA,IND209304AAA,5,257.0,12.0,21.416666666666668
IND283122AAB,IND282005AAA,3,401.0,22.0,18.227272727272727
IND741201AAC,IND712311AAA,1,905.0,57.0,15.87719298245614
IND842003AAB,IND482002AAA,2,123.0,8.0,15.375
IND302026AAA,IND302014AAB,2,258.0,17.0,15.176470588235292
IND785112AAC,IND785001AAA,2,292.0,19.5,14.974358974358974
IND743270AAA,IND712311AAA,1,1128.0,76.0,14.842105263157896
IND485001AAC,IND486001AAA,2,489.5,34.5,14.18840579710145
IND722151AAA,IND723130AAA,3,942.0,69.0,13.652173913043478
IND482002AAA,IND842003AAB,2,109.0,8.5,12.823529411764708
IND134109AAA,IND160002AAC,9,447.0,36.0,12.416666666666666
IND425409AAA,IND424006AAA,1,894.0,74.0,12.08108108108108
IND788713AAA,IND788026AAC,1,361.0,30.0,12.033333333333331
IND844505AAB,IND842001AAA,11,625.0,52.0,12.01923076923077
IND201306AAA,IND201304AAA,1,174.0,15.0,11.6
IND221010AAB,IND233001AAA,3,628.0,56.0,11.214285714285714
IND828111AAA,IND826004AAA,4,129.5,12.0,10.791666666666666
IND751002AAB,IND754103AAA,6,444.5,42.0,10.583333333333334
IND424201AAA,IND424006AAA,1,707.0,67.0,10.552238805970148
IND847223AAA,IND842001AAA,9,685.0,65.0,10.538461538461538
IND395001AAA,IND395023AAD,9,146.0,14.0,10.428571428571429
IND395009AAA,IND395023AAD,9,159.0,16.0,9.9375
IND395006AAA,IND395023AAD,3,146.0,15.0,9.733333333333333
IND208019AAA,IND209304AAA,3,155.0,16.0,9.6875
IND400072AAI,IND000000AFS,1,113.0,12.0,9.416666666666666
IND132001AAA,IND132103AAB,2,276.5,29.5,9.372881355932204
IND521165AAA,IND521225AAB,1,279.0,30.0,9.3
IND211008AAA,IND211002AAB,6,148.5,16.0,9.28125
IND147105AAA,IND160002AAC,6,766.5,85.0,9.01764705882353
IND847226AAA,IND842001AAA,14,757.0,84.0,9.011904761904765
IND695101AAB,IND695012AAA,1,279.0,31.0,9.0
IND400072AAJ,IND400037AAA,2,108.0,12.0,9.0
IND401209AAB,IND401104AAA,8,171.0,19.5,8.76923076923077
IND531001AAA,IND530012AAA,1,190.0,22.0,8.636363636363637
IND395004AAB,IND395023AAD,3,143.0,17.0,8.411764705882353
IND847404AAB,IND842001AAA,13,639.0,76.0,8.407894736842104
IND721102AAA,IND712311AAA,8,769.0,92.0,8.358695652173912
IND403401AAA,IND403726AAB,2,294.5,35.5,8.295774647887324
IND249201AAA,IND249407AAA,12,220.5,27.0,8.166666666666666
