source_center,trips,breach_rate,betweenness_centrality
IND000000ACB,777,0.9742599742599742,0.2341654866435104
IND562132AAA,574,0.970383275261324,0.0993643922630439
IND712311AAA,212,1.0,0.0920076046023501
IND501359AAE,251,1.0,0.0674787407242187
IND160002AAC,296,0.945945945945946,0.0573637102616025
IND781018AAB,72,0.9027777777777778,0.0504921812343745
IND421302AAG,554,1.0,0.0468764225928991
IND382430AAB,203,0.9605911330049262,0.0449136080124744
IND110037AAM,185,0.9675675675675676,0.0430564148833336
IND302014AAA,61,1.0,0.0430395456881325
IND842001AAA,122,1.0,0.0399275818639798
IND131028AAB,200,0.995,0.0383429294051793
IND600056AAB,222,1.0,0.0373164438416327
IND854326AAB,51,1.0,0.0365569899244332
IND411033AAA,319,0.9811912225705328,0.0357546333340625
