trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data
trip-153671041653548748,IND209304AAA,IND000000ACB,FTL,2018-09-12 00:00:16.535741,2018-09-12 16:39:46.858469,2018-09-13 13:40:23.123744,732.0,349.0,446.5496,383.7591641179105,training
trip-153671041653548748,IND462022AAA,IND209304AAA,FTL,2018-09-12 00:00:16.535741,2018-09-12 00:00:16.535741,2018-09-12 16:39:46.858469,830.0,394.0,544.8027,440.9736894506548,training
trip-153671042288605164,IND561203AAB,IND562101AAA,Carting,2018-09-12 00:00:22.886430,2018-09-12 02:03:09.655591,2018-09-12 03:01:59.598855,47.0,26.0,28.1994,24.644020982116984,training
trip-153671042288605164,IND572101AAA,IND561203AAB,Carting,2018-09-12 00:00:22.886430,2018-09-12 00:00:22.886430,2018-09-12 02:03:09.655591,96.0,42.0,56.9116,48.542889856649374,training
trip-153671043369099517,IND000000ACB,IND160002AAC,FTL,2018-09-12 00:00:33.691250,2018-09-14 03:40:17.106733,2018-09-14 17:34:55.442454,611.0,212.0,281.21090000000004,242.3093062636096,training
trip-153671043369099517,IND562132AAA,IND000000ACB,FTL,2018-09-12 00:00:33.691250,2018-09-12 00:00:33.691250,2018-09-14 03:40:17.106733,2736.0,1529.0,2090.8743,1689.9646627128334,training
trip-153671046011330457,IND400072AAB,IND401104AAA,Carting,2018-09-12 00:01:00.113710,2018-09-12 00:01:00.113710,2018-09-12 01:41:29.809822,59.0,15.0,19.68,17.175274247902713,training
trip-153671052974046625,IND583101AAA,IND583201AAA,FTL,2018-09-12 00:02:09.740725,2018-09-12 00:02:09.740725,2018-09-12 02:34:10.515593,147.0,46.0,63.6461,59.53035014589334,training
trip-153671052974046625,IND583119AAA,IND583101AAA,FTL,2018-09-12 00:02:09.740725,2018-09-12 03:54:43.114421,2018-09-12 12:00:30.683231,131.0,44.0,53.5761,41.31761356841047,training
trip-153671052974046625,IND583201AAA,IND583119AAA,FTL,2018-09-12 00:02:09.740725,2018-09-12 02:34:10.515593,2018-09-12 03:54:43.114421,63.0,27.0,29.5696,26.600535816996672,training
