trip_uuid,source_center,destination_center,route_type,trip_creation_time,od_start_time,od_end_time,actual_time,osrm_time,osrm_distance,actual_distance_to_destination,data,source_hub,source_degree_centrality,source_betweenness_centrality,source_in_degree,source_out_degree,destination_hub,destination_degree_centrality,destination_betweenness_centrality,destination_in_degree,destination_out_degree,corridor_trip_count,corridor_delay_ratio,trip_hour,trip_dayofweek,trip_month,distance_per_hour,network_risk_score
trip-153671041653548748,IND209304AAA,IND000000ACB,1,2018-09-12 00:00:16.535741,2018-09-12 16:39:46.858469,2018-09-13 13:40:23.123744,732.0,349.0,446.5496,383.7591641179105,training,IND209304AAA,0.0176211453744493,0.0245306321101068,15.0,13.0,IND000000ACB,0.0560100692259282,0.2341654866435104,41.0,48.0,24.0,1.978658536585366,0,2,9,1.279511747851003,0.5118712837533462
trip-153671041653548748,IND462022AAA,IND209304AAA,1,2018-09-12 00:00:16.535741,2018-09-12 00:00:16.535741,2018-09-12 16:39:46.858469,830.0,394.0,544.8027,440.9736894506548,training,IND462022AAA,0.013845185651353,0.022151621080842,13.0,9.0,IND209304AAA,0.0176211453744493,0.0245306321101068,15.0,13.0,14.0,2.0811153358681875,0,2,9,1.382747969543147,0.09715115302856518
trip-153671042288605164,IND561203AAB,IND562101AAA,0,2018-09-12 00:00:22.886430,2018-09-12 02:03:09.655591,2018-09-12 03:01:59.598855,47.0,26.0,28.1994,24.644020982116984,training,IND561203AAB,0.001258653241032,0.0011870277078085,1.0,1.0,IND562101AAA,0.001258653241032,0.0007903022670025,1.0,1.0,9.0,1.4615384615384617,0,2,9,1.0845923076923076,0.002889943809339154
trip-153671042288605164,IND572101AAA,IND561203AAB,0,2018-09-12 00:00:22.886430,2018-09-12 00:00:22.886430,2018-09-12 02:03:09.655591,96.0,42.0,56.9116,48.542889856649374,training,IND572101AAA,0.0018879798615481,0.0015837531486146,2.0,1.0,IND561203AAB,0.001258653241032,0.0011870277078085,1.0,1.0,8.0,1.952941176470588,0,2,9,1.3550380952380952,0.005411172025485112
trip-153671043369099517,IND000000ACB,IND160002AAC,1,2018-09-12 00:00:33.691250,2018-09-14 03:40:17.106733,2018-09-14 17:34:55.442454,611.0,212.0,281.21090000000004,242.3093062636096,training,IND000000ACB,0.0560100692259282,0.2341654866435104,41.0,48.0,IND160002AAC,0.0365009439899307,0.0573637102616025,30.0,28.0,41.0,2.2843601895734595,0,2,9,1.3264665094339625,0.6659576915083621
trip-153671043369099517,IND562132AAA,IND000000ACB,1,2018-09-12 00:00:33.691250,2018-09-12 00:00:33.691250,2018-09-14 03:40:17.106733,2736.0,1529.0,2090.8743,1689.9646627128334,training,IND562132AAA,0.0446821900566394,0.0993643922630439,36.0,35.0,IND000000ACB,0.0560100692259282,0.2341654866435104,41.0,48.0,35.0,1.8235294117647056,0,2,9,1.3674782864617396,0.6082015438884224
trip-153671046011330457,IND400072AAB,IND401104AAA,0,2018-09-12 00:01:00.113710,2018-09-12 00:01:00.113710,2018-09-12 01:41:29.809822,59.0,15.0,19.68,17.175274247902713,training,IND400072AAB,0.0125865324103209,0.0053214819832859,11.0,9.0,IND401104AAA,0.0050346129641283,0.0007871536523929,4.0,4.0,45.0,3.066666666666667,0,2,9,1.312,0.018733149282748322
trip-153671052974046625,IND583101AAA,IND583201AAA,1,2018-09-12 00:02:09.740725,2018-09-12 00:02:09.740725,2018-09-12 02:34:10.515593,147.0,46.0,63.6461,59.53035014589334,training,IND583101AAA,0.0031466331025802,0.0055541561712846,3.0,2.0,IND583201AAA,0.0031466331025802,0.0011775818639798,2.0,3.0,11.0,2.608695652173913,0,2,9,1.3836108695652174,0.017561055744168
trip-153671052974046625,IND583119AAA,IND583101AAA,1,2018-09-12 00:02:09.740725,2018-09-12 03:54:43.114421,2018-09-12 12:00:30.683231,131.0,44.0,53.5761,41.31761356841047,training,IND583119AAA,0.001258653241032,0.0,1.0,1.0,IND583101AAA,0.0031466331025802,0.0055541561712846,3.0,2.0,7.0,4.136363636363637,0,2,9,1.2176386363636362,0.022974009617586305
trip-153671052974046625,IND583201AAA,IND583119AAA,1,2018-09-12 00:02:09.740725,2018-09-12 02:34:10.515593,2018-09-12 03:54:43.114421,63.0,27.0,29.5696,26.600535816996672,training,IND583201AAA,0.0031466331025802,0.0011775818639798,2.0,3.0,IND583119AAA,0.001258653241032,0.0,1.0,1.0,7.0,2.333333333333333,0,2,9,1.0951703703703703,0.0027476910159528667
