hub,degree_centrality,betweenness_centrality,in_degree,out_degree
IND000000AAL,0.0012586532410320957,0.0,1,1
IND411033AAA,0.025802391441157962,0.03575463333406258,22,19
IND000000AAS,0.0012586532410320957,0.001967884130982368,1,1
IND783370AAC,0.0012586532410320957,0.0015743073047858943,1,1
IND000000AAZ,0.0025173064820641915,0.0007808564231738035,2,2
IND444203AAA,0.0018879798615481437,0.003211586901763224,2,1
IND444303AAA,0.0012586532410320957,0.0,1,1
IND000000ABA,0.0012586532410320957,0.00039357682619647357,1,1
IND683565AAA,0.0012586532410320957,0.0,1,1
IND000000ABD,0.0012586532410320957,0.0,1,1
IND562132AAA,0.0446821900566394,0.09936439226304396,36,35
IND000000ABG,0.0006293266205160479,0.0,0,1
IND501359AAF,0.0018879798615481437,0.0,3,0
IND000000ACA,0.013215859030837005,0.00615957621862461,12,9
IND140406AAA,0.0012586532410320957,0.00019678841309823678,1,1
IND142001AAB,0.0025173064820641915,0.000586167086481948,2,2
IND142401AAA,0.0018879798615481437,0.0,2,1
IND143001AAA,0.0025173064820641915,0.0,3,1
IND144001AAB,0.0062932662051604785,0.007965994962216625,5,5
IND144514AAA,0.0018879798615481437,0.00039042821158690176,1,2
IND147301AAA,0.0018879798615481437,0.00019678841309823678,2,1
IND152026AAA,0.0037759597230962874,0.0008018471872376156,2,4
IND160002AAC,0.03650094398993078,0.05736371026160257,30,28
IND000000ACB,0.05601006922592826,0.23416548664351045,41,48
IND000000AEL,0.0012586532410320957,0.0,1,1
IND110024AAA,0.0025173064820641915,0.00039357682619647357,3,1
IND110030AAD,0.0018879798615481437,0.0,2,1
IND110037AAK,0.0012586532410320957,0.0,1,1
IND110043AAA,0.0025173064820641915,0.00039357682619647357,2,2
IND110043AAC,0.0012586532410320957,0.0,1,1
IND110052AAA,0.0012586532410320957,0.0,1,1
IND110064AAA,0.0031466331025802393,0.0007871536523929471,2,3
IND110085AAB,0.005663939584644431,0.0015743073047858943,4,5
IND110092AAC,0.0031466331025802393,0.0036020151133501245,3,2
IND110095AAB,0.0012586532410320957,0.0,1,1
IND121002AAB,0.0012586532410320957,0.0,1,1
IND121004AAB,0.00881057268722467,0.004863710261602542,8,6
IND122001AAA,0.0037759597230962874,0.001271140992081132,2,4
IND122015AAC,0.0006293266205160479,0.0,1,0
IND124103AAA,0.0012586532410320957,0.0,1,1
IND124112AAA,0.0018879798615481437,0.0,1,2
IND125001AAA,0.007551919446192575,0.010454705223819163,5,7
IND125005AAA,0.005663939584644431,0.008140113350125943,4,5
IND125033AAA,0.0025173064820641915,0.0,2,2
IND127021AAA,0.0018879798615481437,0.003992443324937026,2,1
IND131028AAB,0.02328508495909377,0.03834292940517938,19,18
IND201007AAA,0.006922592825676526,0.002110478889288713,7,4
IND201301AAF,0.0062932662051604785,0.0007871536523929471,8,2
IND201301AAM,0.0012586532410320957,0.0,1,1
IND209304AAA,0.01762114537444934,0.024530632110106847,15,13
IND282002AAD,0.005034612964128383,0.0032348794471608933,4,4
IND301001AAB,0.004405286343612335,0.001569560649595585,4,3
IND301705AAA,0.0018879798615481437,0.0011807304785894208,2,1
IND302014AAA,0.010698552548772814,0.04303954568813251,10,7
IND302022AAD,0.0012586532410320957,0.0,1,1
IND328001AAA,0.0037759597230962874,4.9118387909319906e-05,3,3
IND382430AAB,0.01762114537444934,0.04491360801247448,16,12
IND390022AAA,0.005663939584644431,0.001687132661628884,5,4
IND421302AAG,0.033983637507866586,0.046876422592899106,27,27
IND462022AAA,0.013845185651353053,0.022151621080842076,13,9
IND474003AAA,0.00881057268722467,0.011914357682619652,8,6
IND501359AAE,0.03587161736941473,0.06747874072421872,30,27
IND521225AAB,0.00881057268722467,0.009817380352644836,7,7
IND600056AAB,0.022655758338577723,0.037316443841632775,18,18
IND712311AAA,0.02643171806167401,0.09200760460235015,21,21
IND751002AAB,0.011327879169288861,0.016736857274874818,12,6
IND821115AAB,0.005663939584644431,0.006331863979848867,4,5
IND834002AAB,0.0062932662051604785,0.0034687237615449213,5,5
IND842001AAA,0.016362492133417245,0.03992758186397984,11,15
IND000000ACK,0.0006293266205160479,0.0,0,1
IND000000ACN,0.0012586532410320957,0.0,1,1
IND000000ACT,0.0018879798615481437,0.0,0,3
IND000000ADV,0.0006293266205160479,0.0,0,1
IND600044AAC,0.0018879798615481437,0.0,3,0
IND000000AEM,0.0012586532410320957,0.0,0,2
IND110037AAB,0.0006293266205160479,0.0,1,0
IND110064AAB,0.0006293266205160479,0.0,1,0
IND000000AET,0.0012586532410320957,0.0023614609571788415,1,1
IND000000AFF,0.0012586532410320957,0.0,1,1
IND734203AAA,0.0006293266205160479,0.0,1,0
IND000000AFG,0.0006293266205160479,0.0,0,1
IND673027AAB,0.0018879798615481437,0.0,1,2
IND000000AFJ,0.0018879798615481437,0.0,1,2
IND695121AAA,0.0012586532410320957,0.0,1,1
IND695572AAB,0.0031466331025802393,0.0,3,2
IND000000AFR,0.0006293266205160479,0.0,0,1
IND683511AAA,0.011327879169288861,0.01063287153652393,11,7
IND000000AFT,0.008181246066708623,0.0023614609571788415,5,8
IND400072AAB,0.012586532410320957,0.005321481983285965,11,9
IND400701AAA,0.0012586532410320957,0.0,1,1
IND400706AAA,0.0012586532410320957,0.0,1,1
IND410206AAA,0.0018879798615481437,0.0,2,1
IND410206AAB,0.0012586532410320957,0.0,1,1
IND410209AAA,0.0006293266205160479,0.0,1,0
IND410210AAA,0.0006293266205160479,0.0,1,0
IND110014AAA,0.0012586532410320957,0.0,1,1
IND110020AAB,0.0012586532410320957,0.0,1,1
IND110037AAM,0.025802391441157962,0.043056414883333685,19,22
IND110035AAC,0.0012586532410320957,0.0,1,1
IND201001AAC,0.0006293266205160479,0.0,1,0
IND201301AAD,0.0012586532410320957,0.0,1,1
IND202001AAB,0.005034612964128383,0.007211114609571783,4,4
IND226004AAC,0.0006293266205160479,0.0,1,0
IND282001AAA,0.0018879798615481437,0.0,2,1
IND282001AAC,0.0012586532410320957,0.0,1,1
IND811399AAA,0.0018879798615481437,0.0002509820678901283,1,2
IND110039AAA,0.0012586532410320957,0.0,1,1
IND110078AAA,0.0012586532410320957,0.0,1,1
IND110044AAB,0.005034612964128383,0.0,2,6
IND110005AAA,0.0006293266205160479,0.0,1,0
IND110046AAA,0.0006293266205160479,0.0,1,0
IND110083AAA,0.0012586532410320957,0.0,1,1
IND110085AAA,0.0006293266205160479,0.0,1,0
IND110087AAA,0.0006293266205160479,0.0,1,0
IND110093AAA,0.0012586532410320957,0.0,1,1
IND121001AAA,0.0012586532410320957,0.0,1,1
IND121004AAA,0.0012586532410320957,0.0,1,1
IND121004AAC,0.0012586532410320957,0.0,1,1
IND121102AAA,0.0012586532410320957,0.0,1,1
IND122001AAD,0.0012586532410320957,0.00039357682619647357,1,1
IND122101AAC,0.0006293266205160479,0.0,1,0
IND122050AAA,0.0006293266205160479,0.0,1,0
IND122001AAJ,0.0012586532410320957,0.003992443324937028,1,1
IND507123AAA,0.0012586532410320957,0.003598866498740554,1,1
IND122002AAD,0.0006293266205160479,0.0,0,1
IND122503AAA,0.0012586532410320957,0.0,1,1
IND122004AAA,0.0012586532410320957,0.0,0,2
IND122413AAE,0.0006293266205160479,0.0,1,0
IND123001AAA,0.0018879798615481437,0.0007871536523929471,2,1
IND123401AAB,0.0012586532410320957,0.00039357682619647357,1,1
IND123106AAB,0.0006293266205160479,0.0,1,0
IND124001AAB,0.0012586532410320957,0.0007871536523929471,1,1
IND126102AAA,0.0012586532410320957,0.00039357682619647357,1,1
IND124141AAA,0.0012586532410320957,0.0032052896725440795,1,1
IND124507AAA,0.0018879798615481437,0.00039357682619647357,1,2
IND131028AAE,0.0006293266205160479,0.0,1,0
IND125047AAB,0.0025173064820641915,0.0004093198992443325,2,2
IND125051AAA,0.0025173064820641915,0.0039861460957178844,3,1
IND335513AAA,0.0037759597230962874,0.009115239294710325,3,3
IND335523AAB,0.0018879798615481437,0.0,3,0
IND335524AAA,0.0018879798615481437,0.0,2,1
IND125050AAA,0.0012586532410320957,0.0,1,1
IND125111AAA,0.0012586532410320957,0.003613786818222093,1,1
IND125104AAA,0.0012586532410320957,0.006385390428211585,1,1
IND125121AAA,0.0012586532410320957,0.006416876574307305,1,1
IND131301AAA,0.0012586532410320957,0.0,1,1
IND126112AAA,0.0006293266205160479,0.0,0,1
IND127201AAA,0.0012586532410320957,0.003598866498740553,1,1
IND131021AAA,0.0006293266205160479,0.0,0,1
IND131028AAA,0.0006293266205160479,0.0,1,0
IND132103AAA,0.0025173064820641915,0.0007808564231738035,2,2
IND136118AAA,0.0012586532410320957,0.0011807304785894208,1,1
IND201204AAA,0.0012586532410320957,0.0,1,1
IND244001AAA,0.0012586532410320957,0.0035421914357682623,1,1
IND244235AAA,0.0012586532410320957,0.00658375314861461,1,1
IND247667AAA,0.0012586532410320957,0.0,1,1
IND247667AAB,0.0006293266205160479,0.0,1,0
IND248001AAD,0.0018879798615481437,0.0,2,1
IND249407AAA,0.004405286343612335,0.0007871536523929471,4,3
IND250002AAA,0.0025173064820641915,0.0,3,1
IND250609AAA,0.0006293266205160479,0.0,1,0
IND250611AAA,0.0012586532410320957,0.0007847803247977925,1,1
IND251001AAA,0.0012586532410320957,0.0007871536523929471,1,1
IND132001AAA,0.0025173064820641915,0.00039239016239889625,1,3
IND132103AAB,0.0012586532410320957,0.0,1,1
IND133004AAA,0.0006293266205160479,0.0,0,1
IND135001AAA,0.0018879798615481437,0.00039357682619647357,2,1
IND134102AAA,0.0018879798615481437,2.6238455079764903e-06,2,1
IND174103AAA,0.0025173064820641915,0.0,3,1
IND134109AAA,0.0006293266205160479,0.0,0,1
IND134203AAA,0.0012586532410320957,0.00039357682619647357,1,1
IND140501AAA,0.0012586532410320957,0.0,1,1
IND173025AAA,0.0012586532410320957,0.0,1,1
IND136027AAA,0.0012586532410320957,0.00039672544080604537,1,1
IND132039AAA,0.0006293266205160479,0.0,1,0
IND136128AAA,0.0012586532410320957,0.0007911091983848715,1,1
IND140001AAA,0.0012586532410320957,0.00039357682619647357,1,1
IND140118AAA,0.0012586532410320957,0.0,1,1
IND140301AAA,0.0018879798615481437,0.0007847803247977925,1,2
IND140901AAA,0.0025173064820641915,0.003205289672544081,2,2
IND140401AAA,0.0031466331025802393,0.0,2,3
IND160055AAA,0.0018879798615481437,0.0,2,1
IND141003AAB,0.0012586532410320957,0.0,0,2
IND142026AAA,0.0018879798615481437,0.0,1,2
IND141010AAA,0.0006293266205160479,0.0,0,1
IND141109AAA,0.0012586532410320957,0.0,1,1
IND141115AAA,0.0018879798615481437,0.0,2,1
IND151001AAA,0.005663939584644431,0.008737405541561712,5,4
IND144001AAA,0.0012586532410320957,0.0,1,1
IND144040AAA,0.0018879798615481437,0.0032245610926167362,2,1
IND144401AAB,0.0012586532410320957,0.0,1,1
IND144601AAA,0.0018879798615481437,0.0007816158880042531,1,2
IND144001AAC,0.0012586532410320957,0.0,0,2
IND144527AAA,0.0006293266205160479,0.0,0,1
IND145001AAA,0.0018879798615481437,0.0,1,2
IND176201AAA,0.0012586532410320957,0.0,1,1
IND176303AAA,0.0018879798615481437,0.0,2,1
IND147001AAB,0.0025173064820641915,0.00019678841309823678,2,2
IND147201AAA,0.0018879798615481437,0.0,2,1
IND147001AAD,0.0031466331025802393,0.0013775188916876574,2,3
IND148023AAA,0.0025173064820641915,0.0007934508816120907,2,2
IND147101AAA,0.0025173064820641915,0.0,2,2
IND147105AAA,0.0025173064820641915,0.0,2,2
IND148001AAA,0.0006293266205160479,0.0,1,0
IND148024AAB,0.0006293266205160479,0.0,1,0
IND148028AAA,0.0012586532410320957,0.0,0,2
IND148101AAA,0.0012586532410320957,0.00039239016239889625,1,1
IND148102AAA,0.0012586532410320957,0.003211586901763224,1,1
IND151103AAA,0.0006293266205160479,0.0,1,0
IND151302AAA,0.0012586532410320957,0.0007847803247977925,1,1
IND151505AAA,0.0012586532410320957,0.0036020151133501262,1,1
IND151506AAA,0.0012586532410320957,0.0032084382871536525,1,1
IND152024AAA,0.0012586532410320957,0.00039357682619647357,1,1
IND152123AAA,0.0006293266205160479,0.0,1,0
IND140603AAA,0.0006293266205160479,0.0,1,0
IND160003AAA,0.0012586532410320957,0.0,1,1
IND160102AAC,0.0012586532410320957,0.0,1,1
IND173212AAA,0.0031466331025802393,0.0007816158880042531,2,3
IND174001AAA,0.0018879798615481437,0.004386020151133502,2,1
IND174307AAA,0.0012586532410320957,0.0,1,1
IND176041AAA,0.0012586532410320957,0.0,2,0
IND181152AAA,0.0025173064820641915,0.00019678841309823678,3,1
IND184104AAA,0.0037759597230962874,0.000983942065491184,2,4
IND160102AAD,0.0012586532410320957,0.0,0,2
IND160002AAD,0.0006293266205160479,0.0,1,0
IND173220AAA,0.0018879798615481437,1.049538203190596e-06,1,2
IND175018AAA,0.0012586532410320957,0.003992443324937028,1,1
IND174021AAA,0.0006293266205160479,0.0,0,1
IND176048AAA,0.0012586532410320957,0.0,1,1
IND174101AAB,0.0012586532410320957,0.0,0,2
IND175001AAA,0.0012586532410320957,0.003598866498740554,1,1
IND175101AAA,0.0012586532410320957,0.003205289672544081,1,1
IND175015AAA,0.0012586532410320957,0.003217884130982368,1,1
IND176061AAA,0.0012586532410320957,0.0,1,1
IND176110AAB,0.0012586532410320957,0.0,1,1
IND177033AAA,0.0012586532410320957,0.003217884130982368,1,1
IND176215AAA,0.0006293266205160479,0.0,0,1
IND176310AAA,0.0012586532410320957,0.0,1,1
IND177001AAA,0.0006293266205160479,0.0,0,1
IND177101AAA,0.0012586532410320957,0.0,1,1
IND176001AAA,0.0006293266205160479,0.0,1,0
IND177203AAA,0.0006293266205160479,0.0,0,1
IND184121AAA,0.0037759597230962874,0.0,3,3
IND181152AAB,0.0031466331025802393,0.00039357682619647357,2,3
IND181201AAB,0.0012586532410320957,0.0,1,1
IND201001AAA,0.0012586532410320957,0.0,1,1
IND201005AAA,0.0012586532410320957,0.0,1,1
IND201007AAB,0.0025173064820641915,0.0001425947583063452,1,3
IND245304AAA,0.0025173064820641915,0.00039357682619647357,2,2
IND201304AAA,0.0018879798615481437,0.0,2,1
IND203205AAA,0.0006293266205160479,0.0,1,0
IND201301AAL,0.0018879798615481437,0.0,1,2
IND201307AAA,0.0012586532410320957,0.0,1,1
IND201306AAA,0.0012586532410320957,0.0,0,2
IND205001AAB,0.004405286343612335,0.008753148614609572,3,4
IND207123AAA,0.0012586532410320957,0.0,1,1
IND202001AAC,0.0006293266205160479,0.0,0,1
IND204215AAA,0.0012586532410320957,0.0,1,1
IND203001AAA,0.0006293266205160479,0.0,0,1
IND203131AAA,0.0012586532410320957,0.0,1,1
IND203135AAA,0.0018879798615481437,0.0,1,2
IND203390AAA,0.0018879798615481437,0.0,2,1
IND203396AAB,0.0012586532410320957,0.0,1,1
IND204101AAA,0.0012586532410320957,1.8307238932516753e-05,1,1
IND207001AAA,0.0012586532410320957,0.0032210327455919397,1,1
IND205135AAA,0.0012586532410320957,0.00039357682619647357,1,1
IND209625AAA,0.0018879798615481437,0.0007871536523929471,2,1
IND209721AAB,0.0012586532410320957,0.0,1,1
IND283203AAA,0.0012586532410320957,0.0,1,1
IND206001AAA,0.0012586532410320957,0.0,1,1
IND206122AAA,0.0012586532410320957,0.00039357682619647357,1,1
IND207302AAA,0.0012586532410320957,0.003217884130982368,1,1
IND207247AAB,0.0018879798615481437,0.006435768261964736,2,1
IND208012AAA,0.0012586532410320957,0.0,1,1
IND208017AAA,0.0006293266205160479,0.0,0,1
IND208019AAA,0.0012586532410320957,0.0,1,1
IND209101AAA,0.0012586532410320957,0.0015743073047858943,1,1
IND209111AAA,0.0012586532410320957,0.0011807304785894208,1,1
IND285001AAD,0.0012586532410320957,0.0007871536523929471,1,1
IND209206AAB,0.0012586532410320957,0.00039357682619647357,1,1
IND210301AAA,0.0006293266205160479,0.0,1,0
IND208006AAA,0.0006293266205160479,0.0,1,0
IND209801AAA,0.0012586532410320957,0.0,1,1
IND211002AAB,0.005034612964128383,0.00468336645443844,4,4
IND212601AAA,0.0012586532410320957,0.0007871536523929471,1,1
IND221313AAA,0.0006293266205160479,0.0,1,0
IND241124AAB,0.0012586532410320957,0.00039357682619647357,1,1
IND210001AAA,0.0012586532410320957,0.00039357682619647357,1,1
IND210427AAA,0.0012586532410320957,0.0,1,1
IND210431AAA,0.0012586532410320957,0.0,1,1
IND210501AAB,0.0006293266205160479,0.0,0,1
IND211011AAA,0.0012586532410320957,0.0007871536523929471,1,1
IND211013AAA,0.0006293266205160479,0.0,1,0
IND485001AAC,0.004405286343612335,0.002751889168765743,2,5
IND211008AAA,0.0006293266205160479,0.0,0,1
IND212501AAA,0.0012586532410320957,0.00039357682619647357,1,1
IND212402AAA,0.0012586532410320957,0.0,1,1
IND221010AAB,0.0031466331025802393,4.7229219143576825e-05,2,3
IND222001AAA,0.0012586532410320957,6.297229219143577e-06,1,1
IND232101AAB,0.0012586532410320957,1.2594458438287154e-05,1,1
IND233001AAA,0.0018879798615481437,9.445843828715366e-06,1,2
IND221303AAA,0.0012586532410320957,0.0,1,1
IND231001AAA,0.0006293266205160479,0.0,1,0
IND221401AAA,0.0006293266205160479,0.0,0,1
IND221706AAA,0.0012586532410320957,0.0,1,1
IND273014AAB,0.0062932662051604785,0.0,5,5
IND222136AAA,0.0006293266205160479,0.0,1,0
IND223101AAB,0.0012586532410320957,0.0,1,1
IND222125AAB,0.0006293266205160479,0.0,1,0
IND224001AAA,0.0006293266205160479,0.0,0,1
IND224141AAB,0.0012586532410320957,0.0,1,1
IND224122AAA,0.0006293266205160479,0.0,1,0
IND226004AAA,0.0012586532410320957,0.0,0,2
IND226016AAA,0.0006293266205160479,0.0,1,0
IND226024AAA,0.0006293266205160479,0.0,1,0
IND231205AAA,0.0012586532410320957,0.0,1,1
IND231216AAA,0.0012586532410320957,0.0,2,0
IND231208AAA,0.0006293266205160479,0.0,0,1
IND231217AAA,0.0012586532410320957,0.0,1,1
IND231225AAB,0.0012586532410320957,1.2594458438287154e-05,1,1
IND486886AAA,0.0012586532410320957,9.445843828715366e-06,1,1
IND232104AAB,0.0018879798615481437,6.297229219143577e-06,1,2
IND232327AAA,0.0006293266205160479,0.0,1,0
IND275101AAA,0.0012586532410320957,0.0,1,1
IND275503AAA,0.0018879798615481437,3.4634760705289674e-05,2,1
IND242001AAA,0.0006293266205160479,0.0,1,0
IND242221AAA,0.0012586532410320957,0.0,1,1
IND242307AAB,0.0012586532410320957,0.0,0,2
IND243001AAA,0.0012586532410320957,0.0,0,2
IND243503AAB,0.0012586532410320957,0.0,1,1
IND244901AAB,0.009439899307740718,0.009452172702302445,9,6
IND243201AAA,0.0018879798615481437,0.00039357682619647357,2,1
IND262001AAA,0.0025173064820641915,0.00039357682619647357,2,2
IND243301AAB,0.0018879798615481437,0.00039239016239889625,1,2
IND244901AAC,0.0006293266205160479,0.0,1,0
IND263153AAB,0.006922592825676526,0.0031486146095717885,6,5
IND244221AAA,0.0012586532410320957,0.006328715365239296,1,1
IND244301AAA,0.0012586532410320957,0.0011744332493702771,1,1
IND244412AAA,0.0018879798615481437,0.0007808564231738035,1,2
IND244501AAA,0.0012586532410320957,0.00039357682619647357,1,1
IND244601AAB,0.0012586532410320957,0.0,1,1
IND244713AAA,0.0018879798615481437,0.0,2,1
IND263401AAA,0.0025173064820641915,0.00019678841309823678,2,2
IND244715AAA,0.0012586532410320957,0.00019678841309823678,1,1
IND243002AAA,0.0006293266205160479,0.0,1,0
IND244921AAB,0.0018879798615481437,0.00039357682619647357,1,2
IND246725AAB,0.0012586532410320957,0.001967884130982368,1,1
IND245101AAA,0.0012586532410320957,0.0,1,1
IND246149AAA,0.0012586532410320957,0.0,1,1
IND246174AAA,0.0012586532410320957,0.0,1,1
IND246444AAB,0.0012586532410320957,0.0,1,1
IND246424AAA,0.0012586532410320957,3.1486146095717885e-06,1,1
IND246701AAA,0.0012586532410320957,0.0015743073047858943,1,1
IND246763AAA,0.0012586532410320957,0.0011807304785894208,1,1
IND246761AAA,0.0018879798615481437,0.0007871536523929471,1,2
IND247554AAA,0.0018879798615481437,0.00039357682619647357,1,2
IND248001AAA,0.0018879798615481437,0.0,2,1
IND247776AAA,0.0012586532410320957,0.0036020151133501262,1,1
IND251309AAB,0.0012586532410320957,0.003208438287153653,1,1
IND248122AAB,0.0012586532410320957,0.0,1,1
IND248197AAA,0.0006293266205160479,0.0,0,1
IND249201AAA,0.0012586532410320957,0.0,1,1
IND251201AAA,0.0006293266205160479,0.0,0,1
IND261001AAA,0.0012586532410320957,9.445843828715366e-06,1,1
IND262701AAA,0.0012586532410320957,6.297229219143577e-06,1,1
IND261201AAB,0.0006293266205160479,0.0,0,1
IND262122AAB,0.0012586532410320957,0.0,1,1
IND262405AAA,0.0006293266205160479,0.0,0,1
IND262501AAA,0.0012586532410320957,0.0,1,1
IND262802AAA,0.0012586532410320957,3.1486146095717885e-06,1,1
IND262723AAB,0.0006293266205160479,0.0,1,0
IND263002AAA,0.0012586532410320957,0.0011807304785894208,1,1
IND263645AAA,0.0018879798615481437,0.0007871536523929471,2,1
IND263139AAA,0.0012586532410320957,0.0,1,1
IND263601AAA,0.0025173064820641915,0.00039357682619647357,1,3
IND271001AAA,0.0018879798615481437,0.0,1,2
IND271201AAA,0.0012586532410320957,0.0,1,1
IND271210AAA,0.0018879798615481437,0.0,2,1
IND272001AAA,0.0012586532410320957,0.0,1,1
IND272155AAA,0.0006293266205160479,0.0,0,1
IND272207AAB,0.0006293266205160479,0.0,0,1
IND272153AAC,0.0006293266205160479,0.0,1,0
IND273155AAA,0.0012586532410320957,0.0,1,1
IND274001AAA,0.0025173064820641915,0.0,2,2
IND274301AAB,0.0025173064820641915,0.0,3,1
IND277303AAC,0.0012586532410320957,0.0,1,1
IND273303AAA,0.0012586532410320957,0.0,1,1
IND273304AAA,0.0012586532410320957,0.0,1,1
