source_center,trips,breaches,breach_rate,hub,degree_centrality,betweenness_centrality,in_degree,out_degree
IND000000ACB,777,757,0.9742599742599742,IND000000ACB,0.05601006922592826,0.23416548664351045,41,48
IND562132AAA,574,557,0.9703832752613241,IND562132AAA,0.0446821900566394,0.09936439226304396,36,35
IND712311AAA,212,212,1.0,IND712311AAA,0.02643171806167401,0.09200760460235015,21,21
IND501359AAE,251,251,1.0,IND501359AAE,0.03587161736941473,0.06747874072421872,30,27
IND160002AAC,296,280,0.9459459459459459,IND160002AAC,0.03650094398993078,0.05736371026160257,30,28
IND781018AAB,72,65,0.9027777777777778,IND781018AAB,0.01825047199496539,0.05049218123437452,15,14
IND421302AAG,554,554,1.0,IND421302AAG,0.033983637507866586,0.046876422592899106,27,27
IND382430AAB,203,195,0.9605911330049262,IND382430AAB,0.01762114537444934,0.04491360801247448,16,12
IND110037AAM,185,179,0.9675675675675676,IND110037AAM,0.025802391441157962,0.043056414883333685,19,22
IND302014AAA,61,61,1.0,IND302014AAA,0.010698552548772814,0.04303954568813251,10,7
IND842001AAA,122,122,1.0,IND842001AAA,0.016362492133417245,0.03992758186397984,11,15
IND131028AAB,200,199,0.995,IND131028AAB,0.02328508495909377,0.03834292940517938,19,18
IND600056AAB,222,222,1.0,IND600056AAB,0.022655758338577723,0.037316443841632775,18,18
IND854326AAB,51,51,1.0,IND854326AAB,0.00881057268722467,0.03655698992443324,6,8
IND411033AAA,319,313,0.9811912225705329,IND411033AAA,0.025802391441157962,0.03575463333406258,22,19
